Status,Last Updated,Jurisdiction Status,Jurisdiction Last Updated,State,County,Jurisdiction,Parent Jurisdiction,Abbreviated District Name,Full District Name,Effective Start Date,Changed or Expired,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Affordable Housing District,Elderly Housing District,1-Family Treatment,2-Family Treatment,3-Family Treatment,4+-Family Treatment,1-Family Min. Lot,1-Family Min. Lot Units,1-Family Front Setback,1-Family Front Setback Units,1-Family Side Setback,1-Family Side Setback Units,1-Family Rear Setback,1-Family Rear Setback Units,1-Family Max. Lot Coverage - Buildings,1-Family Max. Lot Coverage - Buildings Units,1-Family Max. Lot Coverage - Buildings & Impervious Surface,1-Family Max. Lot Coverage - Buildings & Impervious Surface Units,1-Family Min. # Parking Spaces,1-Family Min. # Parking Spaces Units,1-Family Max. Stories,1-Family Max. Stories Units,1-Family Max. Height,1-Family Max. Height Units,1-Family Floor to Area Ratio,1-Family Floor to Area Ratio Units,1-Family Min. Unit Size,1-Family Min. Unit Size Units,2-Family Affordable Housing Only,2-Family Elderly Housing Only,2-Family Min. Lot,2-Family Min. Lot Units,2-Family Max. Density,2-Family Max. Density Units,2-Family Front Setback,2-Family Front Setback Units,2-Family Side Setback,2-Family Side Setback Units,2-Family Rear Setback,2-Family Rear Setback Units,2-Family Max. Lot Coverage - Buildings,2-Family Max. Lot Coverage - Buildings Units,2-Family Max. Lot Coverage - Buildings & Impervious Surface,2-Family Max. Lot Coverage - Buildings & Impervious Surface Units,2-Family Min. # Parking Spaces Per Studio or 1BR,2-Family Min. # Parking Spaces Per Studio or 1BR Units,2-Family Min. # Parking Spaces Per 2+ BR,2-Family Min. # Parking Spaces Per 2+ BR Units,2-Family Max. Stories,2-Family Max. Stories Units,2-Family Max. Height,2-Family Max. Height Units,2-Family Floor to Area Ratio,2-Family Floor to Area Ratio Units,2-Family Min. Unit Size,2-Family Min. Unit Size Units,3-Family Affordable Housing Only,3-Family Elderly Housing Only,3-Family Min. Lot,3-Family Min. Lot Units,3-Family Max. Density,3-Family Max. Density Units,3-Family Front Setback,3-Family Front Setback Units,3-Family Side Setback,3-Family Side Setback Units,3-Family Rear Setback,3-Family Rear Setback Units,3-Family Max. Lot Coverage - Buildings,3-Family Max. Lot Coverage - Buildings Units,3-Family Max. Lot Coverage - Buildings & Impervious Surface,3-Family Max. Lot Coverage - Buildings & Impervious Surface Units,3-Family Min. # Parking Spaces Per Studio or 1BR,3-Family Min. # Parking Spaces Per Studio or 1BR Units,3-Family Min. # Parking Spaces Per 2+ BR,3-Family Min. # Parking Spaces Per 2+ BR Units,3-Family Connection to Sewer and/or Water Required,3-Family Connection or Proximity to Public Transit Required,3-Family Max. Stories,3-Family Max. Stories Units,3-Family Max. Height,3-Family Max. Height Units,3-Family Floor to Area Ratio,3-Family Floor to Area Ratio Units,3-Family Min. Unit Size,3-Family Min. Unit Size Units,3-Family Max. Bedrooms Per Unit,3-Family Max. Bedrooms Per Unit Units,4+-Family Affordable Housing Only,4+-Family Elderly Housing Only,4+-Family Min. Lot,4+-Family Min. Lot Units,4+-Family Max. Density,4+-Family Max. Density Units,4+-Family Front Setback,4+-Family Front Setback Units,4+-Family Side Setback,4+-Family Side Setback Units,4+-Family Rear Setback,4+-Family Rear Setback Units,4+-Family Max. Lot Coverage - Buildings,4+-Family Max. Lot Coverage - Buildings Units,4+-Family Max. Lot Coverage - Buildings & Impervious Surface,4+-Family Max. Lot Coverage - Buildings & Impervious Surface Units,4+-Family Min. # Parking Spaces Per Studio or 1BR,4+-Family Min. # Parking Spaces Per Studio or 1BR Units,4+-Family Min. # Parking Spaces Per 2+ BR,4+-Family Min. # Parking Spaces Per 2+ BR Units,4+-Family Connection to Sewer and/or Water Required,4+-Family Connection or Proximity to Public Transit Required,4+-Family Max. Stories,4+-Family Max. Stories Units,4+-Family Max. Height,4+-Family Max. Height Units,4+-Family Floor to Area Ratio,4+-Family Floor to Area Ratio Units,4+-Family Min. Unit Size,4+-Family Min. Unit Size Units,4+-Family Max. Bedrooms,4+-Family Max. Bedrooms Units,4+-Family Max. Units,4+-Family Max. Units Units,Affordable Housing (AH) Treatment,AH - Definition,AH - Elderly Housing Only,AH Min. Lot,AH Min. Lot Units,AH Max. Density,AH Max. Density Units,AH Min. Parking Spaces Per Studio or 1BR,AH Min. Parking Spaces Per Studio or 1BR Units,AH Min. Parking Spaces Per 2+ BR,AH Min. Parking Spaces Per 2+ BR Units,AH Connection to Sewer and/or Water Required,AH Connection or Proximity to Public Transit Required,AH Min. Unit Size,AH Min. Unit Size Units,AH Max. Bedrooms,AH Max. Bedrooms Units,AH Max. Units,AH Max. Units Units,Accessory Dwelling Unit (ADU) Treatment,ADU Employee or Family Occupancy Required,ADU Renter Occupancy Prohibited,ADU Owner Occupancy Required,ADU Elderly Housing Only,ADU Min. Lot,ADU Min. Lot Units,ADU Min. Parking Spaces,ADU Min. Parking Spaces Units,"ADU Restricted to Only Primary Structure (i.e., No Outbuildings like Garages)",ADU Max. Percent Main Unit,ADU Max. Percent Main Unit Units,ADU Max. Size,ADU Max. Size Units,ADU Max. Bedrooms,ADU Max. Bedrooms Units,Planned Residential Development (PRD) Treatment,Mobile or Manufactured Home Park (Y/N),PRD Min. Lot,PRD Min. Lot Units,PRD Max. Density,PRD Max. Density Units,PRD Max. Units,PRD Max. Units Units,Special Notes,Tooltip Notes
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,CID,CID Napili Bay Civic Improvement District,2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.14,Acres,15,Feet,10,Feet,10,Feet,0.5,Alternatives,0.5,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,30,Feet,0.5,Ratio,,Alternatives,No,No,0.17,Acres per 2-Family,,Alternatives,15,Feet,6,Feet,6,Feet,0.5,Alternatives,0.5,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,30,Feet,,Alternatives,,Alternatives,No,No,,Alternatives,,Alternatives,,Alternatives,,Alternatives,,Alternatives,0.5,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,2,Stories,30,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,,Alternatives,,Alternatives,,Alternatives,,Alternatives,,Alternatives,0.5,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,2,Stories,30,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,Base Standard,Alternatives,,Alternatives,Chapter 19.14,
Completed,2023-09-12,Published,2023-09-13,Hawaii,Maui County,Maui County,,CMU-MRA,Commercial Mixed Use - Wailuku Redevelopment Area,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.1,Acres,15,Feet,10,Feet,10,Feet,,Percent,,Percent,"2 + 1/add'l 1,000 sqft",Contextual,2,Stories,30,Feet,,Ratio,,Square Feet,No,No,0.1,Acres per 2-Family,,Units per Acre,15,Feet,10,Feet,10,Feet,60,Percent,60,Percent,"2 + 1/add'l 1,000 sqft",Contextual,"2 + 1/add'l 1,000 sqft",Contextual,,Stories,30-60 depending on street,Contextual,1.2,Ratio,,Square Feet,No,No,0.1,Acres per 3-Family,,Units per Acre,Max 30ft based on street,Contextual,Max 30ft based on street,Contextual,Max 30ft based on street,Contextual,,Percent,,Percent,"2 + 1/add'l 1,000 sqft",Contextual,"2 + 1/add'l 1,000 sqft",Contextual,No,No,,Stories,"30-60 ft, depends on street",Contextual,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,0.1,Acres per 4+-Family,,Units per Acre,Max 30ft based on street,Contextual,Max 30ft based on street,Contextual,Max 30ft based on street,Contextual,,Percent,,Percent,"2 + 1/add'l 1,000 sqft",Contextual,"2 + 1/add'l 1,000 sqft",Contextual,No,No,,Stories,"30-60ft, depends on street",Contextual,3,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.08,Acres,1,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,499,Square Feet,,Bedrooms per Unit,Allowed/Conditional,No,10; 3 in State Urban District,Contextual,Base Standard,Contextual,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,D-1,D-1 Duplex,2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.17,Acres,15,Feet,6 (10 if building is above 1 story or 15 feet),Alternatives,20,Feet,,N/A,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,35,Feet,,Alternatives,,Alternatives,No,No,0.17,Acres per 2-Family,,Alternatives,15,Feet,6 (10 if building is above 1 story or 15 feet),Alternatives,20,Feet,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,35,Feet,,Alternatives,,Alternatives,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.17,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,600,Square Feet,,Alternatives,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,11.62,Units per Acre,,Alternatives,,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,D-2,D-2 Duplex,2023-08-08,,Yes,No,No,Primarily Residential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.23,Acres,15,Feet,6 (10 if building is above 1 story or 15 feet),Alternatives,20,Feet,,N/A,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,35,Feet,,Alternatives,,Alternatives,No,No,0.23,Acres per 2-Family,,Alternatives,15,Feet,6 (10 if building is above 1 story or 15 feet),Alternatives,20,Feet,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,35,Feet,,Alternatives,,Alternatives,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.23,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,720 (see note),Alternatives,,Alternatives,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,8.72,Units per Acre,,Alternatives,ADU max depends on lot size,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,GC,GC Golf Course,2023-08-08,,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,,Acres,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Prohibited,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,H,H Hotel,2023-08-08,,Yes,Yes,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.46,Acres,15,Feet,10,Feet,15,Feet,35,Percent,35,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,160,Feet,1.5,Ratio,,Alternatives,No,No,0.46,Acres per 2-Family,,Alternatives,15,Feet,10,Feet,15,Feet,35,Percent,35,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,160,Feet,1.5,Ratio,,Alternatives,No,No,0.46,Acres per 3-Family,,Alternatives,½ the height of building; min 15',Alternatives,"Height: < 30: 10, 30-60: 15, 60 to 90: 20; 90-120 - 25; 120-160: 30",Alternatives,½ the height of building; min 15',Alternatives,25,Percent,25,Percent,2,Spaces per Unit,2,Spaces per Unit,No,No,,Alternatives,160,Feet,1.5,Ratio,,Alternatives,,Alternatives,No,No,0.46,Acres per 4+-Family,,Alternatives,½ the height of building; min 15',Alternatives,"Height: < 30: 10, 30-60: 15, 60 to 90: 20; 90-120 - 25; 120-160: 30",Alternatives,½ the height of building; min 15',Alternatives,25,Percent,25,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,,Alternatives,160,Feet,1.5,Ratio,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.46,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,720 (see note),Alternatives,,Alternatives,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,Base Standard,Alternatives,,Alternatives,ADU max depends on lot size,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,H-1,H-1 Hotel,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,Acres,15,Feet,10,Feet,15,Feet,25,Percent,25,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,35,Feet,0.5,Ratio,,Alternatives,No,No,0.23,Acres per 2-Family,,Alternatives,15,Feet,10,Feet,15,Feet,25,Percent,25,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,35,Feet,0.5,Ratio,,Alternatives,No,No,0.23,Acres per 3-Family,,Alternatives,½ the height of building; min 15',Alternatives,"Height: < 30: 10, 30-60: 15, 60 to 90: 20; 90-120 - 25; 120-160: 30",Alternatives,½ the height of building; min 15',Alternatives,25,Percent,25,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,,Alternatives,35,Feet,0.5,Ratio,,Alternatives,,Alternatives,No,No,0.23,Acres per 4+-Family,,Alternatives,½ the height of building; min 15',Alternatives,"Height: < 30: 10, 30-60: 15, 60 to 90: 20; 90-120 - 25; 120-160: 30",Alternatives,½ the height of building; min 15',Alternatives,25,Percent,25,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,,Alternatives,35,Feet,0.5,Ratio,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.23,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,620,Square Feet,,Alternatives,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,Base Standard,Alternatives,,Alternatives,,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,H-2,H-2 Hotel,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.46,Acres,15,Feet,10,Feet,15,Feet,35,Percent,30,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,90,Feet,1.5,Ratio,,Alternatives,No,No,0.46,Acres per 2-Family,,Alternatives,15,Feet,10,Feet,15,Feet,35,Percent,30,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,90,Feet,1.5,Ratio,,Alternatives,No,No,0.46,Acres per 3-Family,,Alternatives,½ the height of building; min 15',Alternatives,"Height: < 30: 10, 30-60: 15, 60 to 90: 20; 90-120 - 25; 120-160: 30",Alternatives,½ the height of building; min 15',Alternatives,35,Percent,35,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,,Alternatives,160,Feet,1.5,Ratio,,Alternatives,,Alternatives,No,No,0.46,Acres per 4+-Family,,Alternatives,½ the height of building; min 15',Alternatives,"Height: < 30: 10, 30-60: 15, 60 to 90: 20; 90-120 - 25; 120-160: 30",Alternatives,½ the height of building; min 15',Alternatives,35,Percent,35,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,,Alternatives,160,Feet,1.5,Ratio,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.46,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,720 (see note),Alternatives,,Alternatives,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,Base Standard,Alternatives,,Alternatives,ADU max depends on lot size,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,HD-1,HD-1 Historic District 1,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,,Alternatives,,Alternatives,,Alternatives,,N/A,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,30,Feet,,Alternatives,,Alternatives,No,No,0.17,Acres per 2-Family,,Alternatives,,Alternatives,,Alternatives,,Alternatives,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,,Alternatives,,Alternatives,,Alternatives,No,No,,Alternatives,,Alternatives,10,Feet,5,Feet,15,Feet,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,No,No,2,Stories,35,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,,Alternatives,,Alternatives,10,Feet,5,Feet,15,Feet,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,"2 + 1/add'l 1,000 sqft)",Alternatives,No,No,2,Stories,35,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.17,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,500,Square Feet,,Alternatives,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,HD-2,HD-2 Historic District 2,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,Acres,,Alternatives,,Alternatives,,Alternatives,,N/A,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,30,Feet,,Alternatives,,Alternatives,No,No,0.17,Acres per 2-Family,,Alternatives,,Alternatives,,Alternatives,,Alternatives,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,,Alternatives,,Alternatives,,Alternatives,No,No,,Alternatives,,Alternatives,10,Feet,5,Feet,15,Feet,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,2,Stories,35,Feet,,Alternatives,,Alternatives,,Alternatives,No,No,,Alternatives,,Alternatives,10,Feet,5,Feet,15,Feet,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,2,Stories,35,Feet,,Alternatives,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.17,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,500,Square Feet,,Alternatives,Not Mentioned,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,HD-3,HD-3 Historic District 3,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,0.23,Acres,15,Feet,2023-06-10 00:00:00,Alternatives,2023-06-10 00:00:00,Alternatives,,N/A,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,35,Feet,,Alternatives,,Alternatives,No,No,,Acres per 2-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,,Stories,,Feet,,Ratio,,Square Feet,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,No,No,No,No,,Acres,,Parking Spaces Add'l to Main Unit,No,,Percent of Main Unit,,Square Feet,,Bedrooms per Unit,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,Base Standard,Alternatives,,Alternatives,,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,H-M,H-M Hotel,2023-08-08,,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.34,Acres,15,Feet,10,Feet,15,Feet,30,Percent,35,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,2,Stories,160,Feet,1,Ratio,,Alternatives,No,No,0.34,Acres per 2-Family,,Alternatives,15,Feet,10,Feet,15,Feet,30,Percent,35,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,160,Feet,1,Ratio,,Alternatives,No,No,0.34,Acres per 3-Family,,Alternatives,½ the height of building; min 15',Alternatives,"Height: < 30: 10, 30-60: 15, 60 to 90: 20; 90-120 - 25; 120-160: 30",Alternatives,½ the height of building; min 15',Alternatives,30,Percent,30,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,,Alternatives,90,Feet,1,Ratio,,Alternatives,,Alternatives,No,No,0.34,Acres per 4+-Family,,Alternatives,½ the height of building; min 15',Alternatives,"Height: < 30: 10, 30-60: 15, 60 to 90: 20; 90-120 - 25; 120-160: 30",Alternatives,½ the height of building; min 15',Alternatives,30,Percent,30,Percent,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,No,No,,Alternatives,90,Feet,1,Ratio,,Alternatives,,Alternatives,,Alternatives,Not Mentioned,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.34,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,720 (see note),Alternatives,,Alternatives,Allowed/Conditional,No,"3 (if within the State Urban District, 10 if not within)",Alternatives,Base Standard,Alternatives,,Alternatives,ADU max depends on lot size,
Completed,2023-09-06,Published,2023-09-13,Hawaii,Maui County,Maui County,,INT,INT Interim,2023-08-08,,Yes,No,No,Nonresidential,No,No,Allowed/Conditional,Allowed/Conditional,Prohibited,Prohibited,0.14,Acres,15,Feet,6; 10 if building 15 feet or higher,Alternatives,6; 10 if building 15 feet or higher,Alternatives,,N/A,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,,Alternatives,,Alternatives,,Alternatives,No,No,0.28,Acres per 2-Family,,Alternatives,15,Feet,6; 10 if building 15 feet or higher,Alternatives,6; 10 if building 15 feet or higher,Alternatives,,Alternatives,,Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,"2 + 1/add'l 1,000 sqft",Alternatives,,Alternatives,,Alternatives,,Alternatives,,Alternatives,No,No,,Acres per 3-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,No,No,,Acres per 4+-Family,,Units per Acre,,Feet,,Feet,,Feet,,Percent,,Percent,,Spaces per Unit,,Spaces per Unit,No,No,,Stories,,Feet,,Ratio,,Square Feet,,Bedrooms per Unit,,Units per Building,Prohibited,,No,,Acres per Development,,Units per Acre,,Spaces per Unit,,Spaces per Unit,No,No,,Square Feet,,Bedrooms per Unit,,Units per Building,Allowed/Conditional,No,No,No,No,0.14,Acres,1,Parking Spaces Add'l to Main Unit,No,,Alternatives,500,Square Feet,,Alternatives,Allowed/Conditional,No,,Acres per PRD,,Units per Acre,,Units per PRD,,
